EntryID,Issue_Category,Severity_Score,Latitude,Longitude,Slope,Elevation,Aspect,Past_7_Day_Rainfall,Image_URL
3000,Erosion,2,-34.42669878375438,172.67759149866268,23,114,South,45,
3001,Nominal,0,-34.52022867815124,172.71252196112818,9,55,North,18,
3002,Nominal,0,-34.61042130024182,172.82997536721643,8,44,South,24,
3003,Hazard (Treefall),4,-34.71692798907433,172.92655027345415,22,84,West,46,images/treefall.jpg
3004,Nominal,0,-34.82613699689941,173.02256283191073,2,125,East,27,
3005,Nominal,0,-34.93667103019117,173.11401076427984,5,29,West,8,
3006,Nominal,1,-35.06137144821379,173.17393445959772,9,212,North,13,
3007,Hazard (Treefall),4,-35.171954643703444,173.17680253369798,8,37,West,44,images/treefall.jpg
3008,Infrastructure Damage,3,-35.12503366644861,173.30572791609873,11,61,North,46,images/infrastructure.jpg
3009,Nominal,0,-35.208552659608664,173.3603386685041,4,238,South,7,
3010,Infrastructure Damage,2,-35.21917415814134,173.4718800821278,8,183,East,39,
3011,Nominal,1,-35.237669623437135,173.57036954773486,3,91,North,26,
3012,Erosion,3,-35.22827260932857,173.67059047386556,32,84,South,76,images/erosion.jpg
3013,Nominal,0,-35.228323870978684,173.7753254766452,10,237,North,15,
3014,Nominal,0,-35.217436297878876,173.86763891787842,5,89,North,17,
3015,Nominal,1,-35.22029462192349,173.96169633166147,3,149,West,25,
3016,Infrastructure Damage,3,-35.25991264166445,174.0564734695942,14,92,South,19,images/infrastructure.jpg
3017,Nominal,1,-35.310813126508094,174.15468817210808,9,260,West,18,
3018,Nominal,0,-35.29519645067212,174.2277700826081,8,52,North,20,
3019,Infrastructure Damage,1,-35.34969875634826,174.30661741881588,5,186,North,37,
3020,Nominal,1,-35.4334145793349,174.35810685905525,8,291,North,13,
3021,Hazard (Treefall),2,-35.49623908231117,174.33188561348862,22,245,West,37,
3022,Nominal,1,-35.51378263618858,174.45033269017551,2,51,East,19,
3023,Drainage Failure,3,-35.59100987361279,174.45676123899128,8,86,East,98,images/drainage.jpg
3024,Infrastructure Damage,3,-35.65965464712515,174.47148171046393,6,160,South,19,images/infrastructure.jpg
3025,Erosion,2,-35.67004105382291,174.48408884738723,34,192,South,50,
3026,Drainage Failure,4,-35.76292607654319,174.54847432698114,3,137,North,43,images/drainage.jpg
3027,Nominal,1,-35.85501236777263,174.55615898408655,1,221,South,29,
3028,Nominal,1,-35.86413026362146,174.47679179447846,8,153,West,10,
3029,Drainage Failure,5,-35.97708650814175,174.4536800895297,3,176,West,85,images/drainage.jpg
3030,Drainage Failure,5,-36.06390950027893,174.5221499861275,5,336,West,68,images/drainage.jpg
3031,Nominal,0,-36.087358154555034,174.58962453717564,1,113,South,15,
3032,Erosion,2,-36.15957091303689,174.64733107735984,17,276,South,75,
3033,Nominal,0,-36.258869256033755,174.7227018055563,5,256,South,7,
3034,Nominal,1,-36.33317000187963,174.65861,3,166,West,22,
3035,Nominal,1,-36.39782013024248,174.6014731693058,6,163,North,11,
3036,Hazard (Treefall),3,-36.50109400764676,174.61021092426734,18,269,North,46,images/treefall.jpg
3037,Hazard (Treefall),4,-36.53538694047591,174.71176417505242,8,256,North,23,images/treefall.jpg
3038,Nominal,0,-36.61317582747396,174.67933959685254,8,196,West,19,
3039,Nominal,1,-36.66357977696579,174.7400085947667,3,279,North,7,
3040,Nominal,0,-36.75425739918225,174.76347365881574,1,392,South,29,
3041,Nominal,1,-36.853046674503545,174.77067050707018,7,406,West,11,
3042,Infrastructure Damage,1,-36.939420001106015,174.78593081432356,12,292,East,10,
3043,Drainage Failure,4,-36.99485207532256,174.7816341362336,4,377,West,67,images/drainage.jpg
3044,Nominal,1,-37.00545260791361,174.8946764781039,3,348,North,6,
3045,Hazard (Treefall),2,-37.10358305040865,174.95298137558473,6,332,West,57,
3046,Infrastructure Damage,1,-37.20244044000342,175.00112828299393,1,240,South,42,
3047,Nominal,0,-37.243369316739376,175.05650157470612,10,327,North,12,
3048,Drainage Failure,5,-37.33672925818892,175.04705147112827,3,385,North,77,images/drainage.jpg
3049,Erosion,5,-37.4252708413786,175.115805297122,33,375,South,66,images/erosion.jpg
3050,Nominal,1,-37.54183109781002,175.1533272118133,3,355,South,13,
3051,Hazard (Treefall),3,-37.64102539199964,175.12908444741586,19,501,North,40,images/treefall.jpg
3052,Nominal,0,-37.708560378494056,175.21636096554465,1,324,East,22,
3053,Nominal,1,-37.79488043602464,175.2627271051929,1,373,East,12,
3054,Nominal,1,-37.814733907421264,175.1468318834962,9,448,North,30,
3055,Hazard (Treefall),4,-37.88845514696446,175.0974514034181,14,528,East,26,images/treefall.jpg
3056,Nominal,0,-37.99270267975912,175.09848805939092,8,368,East,9,
3057,Erosion,4,-38.08403002532922,175.04611243276702,21,470,West,73,images/erosion.jpg
3058,Nominal,0,-38.18066838970447,175.01586138039477,1,426,East,25,
3059,Nominal,1,-38.236977278373956,175.07420229511604,2,573,East,25,
